url,product_id,ref,main_title,description,full_path,color,current_price,previous_price,available_sizes,all_sizes,images,outlet_color,excluweb_color,material,brand,discounted
['https://us.maxmara.com/p-1081065106001-oggeri-white'],1081065106001,1081065106,cropped teddy bear icon coat in alpaca and wool,"cropped jacket in the iconic teddy fabric of alpaca and wool on a silk base, featuring an oversized silhouette with a gathered waist at the back and leather straps at the sides. the style features a wide lapel collar, long, low-set sleeves and welt pockets. lined in monogram jacquard fabric. double-breasted fastening with buttons.","[['Homepage', 'Coats and Jackets', 'Coats and Jackets', 'Coats', 'Coats', 'Cropped Teddy Bear Icon Coat in alpaca and wool']]",white,2890.0,2890.0,"['4', '6', '12', '0', '8', '2', '10']","['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1081065106/001/s3master/1081065106001-a-oggeri_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1081065106/001/s3details/1081065106001-b-oggeri_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1081065106/001/s3details/1081065106001-d-oggeri_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1081065106/001/s3details/1081065106001-e-oggeri_normal.jpg#product']",False,False,"Jersey fabric 62% alpaca, 26% virgin wool, 12% silk; lining 100% viscose.",max mara,False
['https://us.maxmara.com/p-1336024206001-zigote-white'],1336024206001,1336024206,wide-leg wool yarn trousers,"long trousers made from soft pure wool yarn - featuring a wide-leg silhouette, cloth stitch detailing, a ribbed elasticated waist, and slant pockets on the sides. customised with m monogram detail applied under the left pocket.","[['Homepage', 'Clothing', 'Clothing', 'Trousers', 'Trousers', 'Wide-leg wool yarn trousers']]",white,612.0,875.0,"['XS', 'S', 'XL', 'M']","['XS', 'S', 'L', 'M', '2XL', 'XL']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1336024206/001/s3master/1336024206001-a-zigote_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1336024206/001/s3details/1336024206001-b-zigote_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1336024206/001/s3details/1336024206001-d-zigote_normal.jpg#product']",False,False,Knitted fabric 100% virgin wool; - exclusive of decoration.,max mara,True
['https://us.maxmara.com/p-1116044206013-norel-ultramarine'],1116044206013,1116044206,silk charmeuse shirt,long-sleeved shirt in exquisite pure silk charmeuse. flowing garment with a double overlapping asymmetric collar and shirt cuffs with a motif of small surmounted flounces. finished with a rounded hem and side slits. concealed front closure with visible metallic button at the top.,"[['Homepage', 'Clothing', 'Clothing', 'Blouses', 'Blouses', 'Silk charmeuse shirt']]",ultramarine,735.0,1050.0,"['4', '6', '12', '0', '16', '8', '2', '10']","['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1116044206/013/s3master/1116044206013-a-norel_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1116044206/013/s3details/1116044206013-b-norel_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1116044206/013/s3details/1116044206013-d-norel_normal.jpg#product']",False,False,100% silk.,max mara,True
['https://us.maxmara.com/p-1136014106006-avoriaz-ecru'],1136014106006,1136014106,oversize stretch cotton trousers,"long trousers in stretch cotton double canvas, featuring an oversized silhouette with wide legs, pleats on the front and pattern of seams and stitching at the knee. featuring french side pockets and welt back pockets. fastening with wide waistband, flap with zip and small hook.","[['Homepage', 'Clothing', 'Clothing', 'Trousers', 'Trousers', 'Oversize stretch cotton trousers']]",ecru,626.0,895.0,"['4', '6', '0', '8', '2', '10']","['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1136014106/006/s3master/1136014106006-a-avoriaz_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1136014106/006/s3details/1136014106006-b-avoriaz_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1136014106/006/s3details/1136014106006-d-avoriaz_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1136014106/006/s3details/1136014106006-e-avoriaz_normal.jpg#product']",False,False,"95% cotton, 5% elastane.",max mara,True
['https://us.maxmara.com/p-1111075206001-falster-optical-white'],1111075206001,1111075206,cotton cropped shirt,"pure cotton poplin shirt featuring a cropped cut as the waist with a gathered motif at the front and a slightly longer square back. the style is completed by a classic pointed collar, long sleeves with high cufflink cuffs, a yoke cut and a pleat on the back. concealed button fastening at the front.","[['Homepage', 'Clothing', 'Clothing', 'Blouses', 'Blouses', 'Cotton cropped shirt']]",white,595.0,595.0,"['4', '6', '12', '0', '16', '8', '2', '10', '14']","['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1111075206/001/s3master/1111075206001-a-falster_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1111075206/001/s3details/1111075206001-b-falster_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1111075206/001/s3details/1111075206001-d-falster_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1111075206/001/s3details/1111075206001-e-falster_normal.jpg#product']",False,False,100% cotton.,max mara,False
['https://us.maxmara.com/p-5926024206001-medea-navy'],5926024206001,5926024206,organic cotton sweatshirt,"oversized sweatshirt in soft organic cotton fabric featuring a front customised with a signature collection print and embroidered detail. the crew-neck model boasts an embroidered pointed front yoke and long, ultra-low set-in sleeves.","[['Homepage', 'Clothing', 'Clothing', 'Knitwear', 'Knitwear', 'Organic cotton sweatshirt']]",navy,142.0,285.0,[],"['XS', 'S', 'L', 'M', '2XL', 'XL']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5926024206/001/s3master/5926024206001-a-medea_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5926024206/001/s3details/5926024206001-b-medea_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5926024206/001/s3details/5926024206001-d-medea_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5926024206/001/s3details/5926024206001-e-medea_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5926024206/001/s3details/5926024206001-f-medea_normal.jpg#product']",False,False,Jersey fabric 100% cotton; - exclusive of decoration.,weekend max mara,True
['https://us.maxmara.com/p-9016194306031-roseto-turtledove'],9016194306031,9016194306,midi alpaca and wool coat,"midi double-breasted coat made of luxurious, soft alpaca and wool teddy. the style features a lapel collar, inset side pockets, and sleeves set-in on the front and kimono-cut on the back. the lined style closes with visible buttoning.","[['Homepage', 'Coats and Jackets', 'Coats and Jackets', 'Coats', 'Coats', 'Midi alpaca and wool coat']]",turtledove,1323.0,1890.0,"['10', '12']","['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/9016194306/031/s3master/9016194306031-a-roseto_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/9016194306/031/s3details/9016194306031-b-roseto_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/9016194306/031/s3details/9016194306031-d-roseto_normal.jpg#product']",False,False,"Fabric 62% alpaca, 38% virgin wool; lining 69% acetate, 31% cupro.",'s max mara,True
['https://us.maxmara.com/p-5486064206032-baiardo-green'],5486064206032,5486064206,water-repellent taffeta cropped bomber jacket,"goose down-padded cropped bomber jacket in water-repellent nylon taffeta fabric. the model boasts a high neck, press stud-fastening welt side pockets and a drawstring-adjustable hem. the long sleeves can be removed or worn open for a cape effect, thanks to the zips running along the inner side. embellished with a small zipped inner pocket. zip and press-stud fastening.","[['Homepage', 'Coats and Jackets', 'Coats and Jackets', 'Padded coats', 'Padded coats', 'Water-repellent taffeta cropped bomber jacket']]",green,647.0,925.0,"['4', '6', '12', '0', '8', '2', '10']","['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5486064206/032/s3master/5486064206032-a-baiardo_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5486064206/032/s3details/5486064206032-b-baiardo_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5486064206/032/s3details/5486064206032-d-baiardo_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5486064206/032/s3details/5486064206032-e-baiardo_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5486064206/032/s3details/5486064206032-f-baiardo_normal.jpg#product']",False,False,Fabric 100% polyamide; lining 100% polyamide; - exclusive of decoration; with quilting in quilting virgin down.,weekend max mara,True
['https://us.maxmara.com/p-1281015106003-bergamo-camel'],1281015106003,1281015106,sleeveless gabardine jacket,"single-breasted sleeveless jacket in pure wool gabardine. slim-fit style with peak lapel and turned-back cap sleeves that add volume on the shoulder. lined in monogram stretch fabric, it is finished with double-welt pockets with flap on the front, tailored pick stitch and double vent on the back. one-button closure.","[['Homepage', 'Clothing', 'Clothing', 'Suits', 'Suits', 'Sleeveless gabardine jacket']]",camel,1590.0,1590.0,"['4', '6', '12', '0', '16', '8', '2', '10', '14']","['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1281015106/003/s3master/1281015106003-a-bergamo_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1281015106/003/s3details/1281015106003-b-bergamo_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1281015106/003/s3details/1281015106003-d-bergamo_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1281015106/003/s3details/1281015106003-e-bergamo_normal.jpg#product']",False,False,"Fabric 100% virgin wool; lining 65% acetate, 35% polyester.",max mara,False
['https://us.maxmara.com/p-1636014106005-alpaca-red'],1636014106005,1636014106,short mesh jersey dress,"short dress in soft mesh-effect technical jersey, featuring a straight silhouette with a round neckline and elbow-length balloon sleeves with large volume. crew-neck garment, finished with dropped shoulder, side slits and asymmetrical hem longer on the back. matching slip in tonal viscose jersey. back zip fastening.","[['Homepage', 'Clothing', 'Clothing', 'Blouses', 'Blouses', 'Short mesh jersey dress']]",red,577.0,825.0,['8'],"['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1636014106/005/s3master/1636014106005-a-alpaca_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1636014106/005/s3details/1636014106005-b-alpaca_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1636014106/005/s3details/1636014106005-d-alpaca_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1636014106/005/s3details/1636014106005-e-alpaca_normal.jpg#product']",False,False,"Jersey dress 100% polyester. Petticoat 94% viscose, 6% elastane.",max mara,True
