url,product_id,ref,main_title,description,full_path,color,current_price,previous_price,available_sizes,all_sizes,images,outlet_color,excluweb_color,material,brand,discounted,Category,Color,Material
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/trench-coats/sacco-double-breasted-silk-organza-trench/1647597332026394'],1647597332026394,1647597332026394,sacco double-breasted silk-organza trench,"max mara's spring '24 collection offers a poetic take on utilitarian style. worn on the runway, this 'sacco' trench coat is tailored from silk-organza, a crisp, diaphanous fabric that holds its shape beautifully.",[['Max Mara']],bronze,1914.0,3190.0,"['6', '8', '14']","['12', '6', '14', '8']","['https://www.net-a-porter.com/variants/images/1647597332026394/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597332026394/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597332026394/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597332026394/cu/w600_q80.jpg']",False,False,Bronze silkorganza  Button fastenings through doublebreasted front  100% silk  Dry clean,max mara,True,Outerwear,bronze,silk organza
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/coverups/beachwear-quincy-pleated-cotton-blend-poplin-midi-dress/1647597330148785'],1647597330148785,1647597330148785,beachwear quincy pleated cotton-blend poplin midi dress,"max mara's 'quincy' midi dress is made from crisp cotton-poplin in a mood-boosting papaya. it has a loose, breezy fit that's enhanced by a row of inverted pleats along the back yoke. the three-quarter sleeves are perfect for showing off a stack of your favorite bracelets or watch.",[['Max Mara']],coral,188.0,375.0,"['4', '6', '8', '10']","['4', '18', '6', '12', '14', '16', '2', '10', '8']","['https://www.net-a-porter.com/variants/images/1647597330148785/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330148785/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330148785/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330148785/cu/w600_q80.jpg']",False,False,"Papaya cottonblend poplin  Button fastenings along front  78% cotton, 20% polyamide, 2% elastane  Machine wash",max mara,True,Dresses,coral,cotton blend poplin
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/bikini-tops/beachwear-alberta-zebra-print-triangle-halterneck-bikini-top/1647597330145191'],1647597330145191,1647597330145191,beachwear alberta zebra-print triangle halterneck bikini top,"max mara's 'alberta' bikini top doesn't rely on bright colors to stand out – the pared-back zebra print makes such a statement. it's cut from stretchy fabric to support the bust, with triangle cups and halterneck ties. wear yours with the matching briefs from the brand's 'beachwear' line.",[['Max Mara']],beige,114.0,190.0,"['x small', 'large', 'x large']","['medium', 'x large', 'large', 'small', 'x small']","['https://www.net-a-porter.com/variants/images/1647597330145191/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330145191/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330145191/fr/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330145191/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330145191/ou2/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330145191/cu/w600_q80.jpg']",False,False,"White and beige stretchpolyamide  Ties at neck and back  85% polyamide, 15% elastane  Hand wash  Lotion, sunscreen, oil and chlorine can cause discoloration of this item; this is not a manufacturing defect. Please follow care instructions to keep your swimwear in the best condition",max mara,True,Swimwear,beige,stretch polyamide
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/cardigans/leisure-kiota-knitted-cardigan/1647597337813736'],1647597337813736,1647597337813736,leisure kiota knitted cardigan,"part of the label's 'leisure' collection, max mara's 'kiota' cardigan strikes the perfect balance between comfort and style. it has a mid-weight feel that'll keep you cozy in cool weather and is cut for a relaxed fit.",[['Max Mara']],black,255.0,425.0,['x large'],"['medium', 'large', 'x large', 'small', 'x small']","['https://www.net-a-porter.com/variants/images/1647597337813736/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597337813736/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597337813736/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597337813736/cu/w600_q80.jpg']",False,False,"Black viscoseblend   Button fastenings through front   65% viscose, 35% polyamide   Hand wash or dry clean",max mara,True,Knitwear,black,viscose blend
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/shirts/pio-two-tone-silk-shirt/1647597354711193'],1647597354711193,1647597354711193,pio two-tone silk shirt,"max mara's 'pio' shirt comes in a two-tone colorway that's classic and timeless. crafted from pure silk, it has flouncy bell sleeves and a sharp collar. the covered placket creates a sleek, refined look.",[['Max Mara']],black,1050.0,1050.0,"['4', '6', '10', '14', '16', '18']","['4', '18', '6', '12', '14', '16', '2', '10', '8']","['https://www.net-a-porter.com/variants/images/1647597354711193/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354711193/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354711193/fr/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354711193/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354711193/cu/w600_q80.jpg']",False,False,Black and camel silk  Concealed button fastenings through front  100% silk  Dry clean,max mara,False,Tops,black,silk
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/maxi/ridente-asymmetric-draped-crepe-maxi-skirt/1647597354715036'],1647597354715036,1647597354715036,ridente asymmetric draped crepe maxi skirt,"max mara's 'ridente' skirt is gathered through the front, ensuring the jersey fabric drapes off the hips nicely. it has a generous front split and sits on your waist.",[['Max Mara']],camel,995.0,995.0,"['16', '14', '12']","['10', '12', '8', '4', '6', '18', '16', '14']","['https://www.net-a-porter.com/variants/images/1647597354715036/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354715036/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354715036/fr/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354715036/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354715036/cu/w600_q80.jpg']",False,False,"Camel crepe  Concealed zip fastening along side  64% triacetate, 36% polyester  Machine wash",max mara,False,Skirts,camel,crepe
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/blouses/ulrico-cotton-canvas-shirt/1647597332026386'],1647597332026386,1647597332026386,ulrico cotton-canvas shirt,"part of the spring '24 collection, max mara's 'ulrico' shirt puts a sophisticated spin on utility styles. it's cut from cotton-canvas that enhances the structured shape and comes in the brand's signature shade of camel. take cues from the runway show and style it with tonal separates.",[['Max Mara']],bronze,483.0,965.0,"['4', '6', '8', '10', '12', '14', '16', '18']","['4', '18', '6', '12', '14', '16', '10', '8']","['https://www.net-a-porter.com/variants/images/1647597332026386/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597332026386/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597332026386/fr/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597332026386/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597332026386/cu/w600_q80.jpg']",False,False,Brown cottoncanvas  Slips on  100% cotton  Machine wash,max mara,True,Tops,bronze,cotton canvas
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/wide-leg/edda-leather-trimmed-cotton-blend-poplin-wide-leg-cargo-pants/1647597328926250'],1647597328926250,1647597328926250,edda leather-trimmed cotton-blend poplin wide-leg cargo pants,"max mara's collections are filled with timeless styles you can build your wardrobe around. elevated and elegant, these 'edda' wide-leg cargo pants are cut from cotton-blend poplin and have buckled leather tabs at each pocket.",[['Max Mara']],brown,537.0,895.0,"['6', '8', '12', '14', '16', '18']","['18', '4', '6', '12', '14', '16', '10', '8']","['https://www.net-a-porter.com/variants/images/1647597328926250/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597328926250/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597328926250/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597328926250/cu/w600_q80.jpg']",False,False,"Tobacco cottonblend poplin  Concealed hook and zip fastening at front  95% cotton, 5% elastane  Dry clean",max mara,True,Pants,brown,cotton blend poplin
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/cardigans/saio-wool-blend-hoodie/1647597341004719'],1647597341004719,1647597341004719,saio wool-blend hoodie,"max mara's 'saio' hoodie is made from an insulating blend of wool and cashmere, making it perfect for breezy fall days. it has a two-way zip, so you can adjust the neckline or hem, and comes in a versatile 'hazelnut' hue.",[['Max Mara']],brown,745.0,1490.0,['large'],"['small', 'medium', 'large', 'x small']","['https://www.net-a-porter.com/variants/images/1647597341004719/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004719/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004719/fr/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004719/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004719/cu/w600_q80.jpg']",False,False,"Beige woolblend  Twoway zip fastening through front  85% wool, 10% cashmere, 5% polyamide  Dry clean  Designer color: Hazelnut",max mara,True,Tops,brown,wool blend
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/midi-dresses/leisure-baden-crinkled-satin-maxi-dress/1647597330163046'],1647597330163046,1647597330163046,leisure baden crinkled-satin maxi dress,"there's something quite beautiful to the way max mara's 'baden' dress shimmers as it flows down its length. from the comfortable 'leisure' collection (but by no means less glamorous), it's made from satin that's a touch weighted to enhance the drape.",[['Max Mara']],black,219.0,365.0,"['6', '10', '12', '14', '16', '18']","['18', '4', '6', '12', '14', '16', '2', '10', '8']","['https://www.net-a-porter.com/variants/images/1647597330163046/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330163046/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330163046/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330163046/cu/w600_q80.jpg']",False,False,Black crinkledsatin  Concealed zip fastening along back  100% acetate  Dry clean,max mara,True,Dresses,black,crinkled satin
