url,product_id,ref,main_title,description,full_path,color,current_price,previous_price,available_sizes,all_sizes,images,outlet_color,excluweb_color,material,brand,discounted,Category,Color,Material
['https://www.luisaviaroma.com/en-us/p/s-max-mara/women/81I-5K2023?ColorId=MDA40&lvrid=_p_d5K2_gw'],81I-5K2023,81I-5K2023,edgard coated straight pants,concealed front hook and zip closure model is wearing a size s,"[['women', ""'S MAX MARA""]]",black_008,365.0,365.0,"['XS', 'S', 'M', 'L', 'XL']","['M', 'XS', 'XL', 'S', 'L']","['https://images.lvrcdn.com/c/2025/01/15/cba3f570-cd9b-4bc4-9ff1-d19094bcf898/221e7112-1f7b-44e2-ac4c-e8a890bfd00920250116140746.JPG', 'https://images.lvrcdn.com/c/2025/01/17/32c94811-21c2-4144-86e4-9054eb507996/0c6eb89e-55f8-48a1-818a-60e229c63bc820250120142132.JPG', 'https://images.lvrcdn.com/c/2025/01/17/32c94811-21c2-4144-86e4-9054eb507996/a84e40bb-94c3-4d33-a57d-d921d7e08dac20250120142128.JPG', 'https://images.lvrcdn.com/c/2025/01/15/cba3f570-cd9b-4bc4-9ff1-d19094bcf898/4e9313a1-1fd9-47ba-b3be-0c87f07cff6220250116140744.JPG', 'https://images.lvrcdn.com/c/2025/01/15/cba3f570-cd9b-4bc4-9ff1-d19094bcf898/0d05bfef-26ba-4ca7-9099-eae44b0c41b720250116140748.JPG']",False,False,100% Polyester,'s max mara,False,Pants,Black,Polyester
['https://www.luisaviaroma.com/en-us/p/s-max-mara/women/81I-519015?ColorId=MDAx0&lvrid=_p_d5K2_gw'],81I-519015,81I-519015,paul cropped denim flared jeans,front button and concealed zip closure five pockets model is wearing a size 42,"[['women', ""'S MAX MARA""]]",blue_001,465.0,465.0,"['34 IT', '36 IT', '38 IT', '40 IT', '42 IT', '44 IT', '46 IT', '48 IT', '50 IT']","['48 IT', '42 IT', '36 IT', '46 IT', '38 IT', '34 IT', '40 IT', '50 IT', '44 IT']","['https://images.lvrcdn.com/c/2024/11/08/f8ef5400-b7fd-4353-bda6-803336110d81/66c3169b-a23d-4ec4-a9fc-0d94e2f4be0620241111124647.JPG', 'https://images.lvrcdn.com/c/2024/11/08/45147a31-c734-4c41-a3a1-cdcb6b5537e6/b3697c74-40a0-4f1e-a331-4c1266e9f5e120241111114223.JPG', 'https://images.lvrcdn.com/c/2024/11/08/45147a31-c734-4c41-a3a1-cdcb6b5537e6/c8c54ccf-0609-4697-a0ac-2cf0ed02306f20241111114221.JPG', 'https://images.lvrcdn.com/c/2024/11/08/f8ef5400-b7fd-4353-bda6-803336110d81/899f0d52-8b1d-4040-bfc7-aac931c09bbe20241111124642.JPG', 'https://images.lvrcdn.com/c/2024/11/08/f8ef5400-b7fd-4353-bda6-803336110d81/92fb88d8-e5b5-43f1-b0f0-36bb92863a8f20241111124645.JPG']",False,False,100% Cotton,'s max mara,False,Jeans,Blue,Cotton
['https://www.luisaviaroma.com/en-us/p/max-mara/women/79I-F4P004?ColorId=MDAy0&lvrid=_p_dLCG_gw'],79I-F4P004,79I-F4P004,peter stretch viscose lurex s/s top,fineness: gauge 14 turtleneck all over pattern placement may vary model is wearing a size m,"[['women', 'MAX MARA']]",silver_002,122.0,350.0,['XL'],['XL'],"['https://images.lvrcdn.com/c/p/79I/F4P/004/d0105b1c-9dda-413e-8ffe-f76a0e019a44.JPG', 'https://images.lvrcdn.com/c/p/79I/F4P/004/8df47ef5-f58d-4c22-834d-245382c52b1320231221084439.JPG', 'https://images.lvrcdn.com/c/p/79I/F4P/004/a173696c-f105-4cd1-86c2-ad377166e58720231221084446.JPG', 'https://images.lvrcdn.com/c/p/79I/F4P/004/d744f388-c2ac-402c-a538-306d768a0843.JPG', 'https://images.lvrcdn.com/c/p/79I/F4P/004/d3ab2379-8c87-4ef7-80b9-a0593e76fe20.JPG']",False,False,"62% Viscose, 24% Polyester, 10% Polyamide, 4% Metallic Fiber",max mara,True,Top,Silver,"Viscose, Polyester, Polyamide, Metallic Fiber"
['https://www.luisaviaroma.com/en-us/p/weekend-max-mara/women/81I-YV0004?ColorId=MDAx0&lvrid=_p_dF4U_gw'],81I-YV0004,81I-YV0004,moscova suede clutch,height: 15cm width: 41cm depth: 9cm strap drop: 31cm metal chain strap metal frame with clasp closure all over pattern placement may vary made in italy,"[['women', 'WEEKEND MAX MARA']]",leopardo_001,620.0,620.0,['Unique'],['Unique'],"['https://images.lvrcdn.com/c/2024/07/24/14af6f4f-a16b-4d07-8f68-7fc316852426/57441329-2c7e-45ee-b657-be5e24c8651b20240725103743.JPG', 'https://images.lvrcdn.com/c/2024/07/24/05ecf388-6e26-4fa4-ae83-f73d8aa28738/c967fc88-6088-4e70-9307-fd123a3473c820240725073804.JPG', 'https://images.lvrcdn.com/c/2024/07/24/14af6f4f-a16b-4d07-8f68-7fc316852426/6616512e-3611-416c-ad00-955a961211fd20240725103730.JPG', 'https://images.lvrcdn.com/c/2024/07/24/14af6f4f-a16b-4d07-8f68-7fc316852426/4e997816-d7fa-4a5f-a343-5c581beccad720240725103739.JPG', 'https://images.lvrcdn.com/c/2024/07/24/14af6f4f-a16b-4d07-8f68-7fc316852426/489ba618-feb6-4b42-82e7-49697bca6b4920240725103734.JPG', 'https://images.lvrcdn.com/c/2024/07/24/14af6f4f-a16b-4d07-8f68-7fc316852426/c2b3f023-63c9-4ea1-805d-1975566dc6c620240725103727.JPG']",False,False,100% Calf,weekend max mara,False,Clutch,Leopard Print,Calf
['https://www.luisaviaroma.com/en-us/p/s-max-mara/women/81I-519009?ColorId=MDA00&lvrid=_p_d5K2_gw'],81I-519009,81I-519009,jane belted wide leg linen pants,matching adjustable belt concealed front zip closure two back pockets model is wearing a size 42,"[['women', ""'S MAX MARA""]]",black_004,845.0,845.0,"['34 IT', '36 IT', '38 IT', '40 IT', '42 IT', '44 IT', '46 IT', '48 IT', '50 IT']","['48 IT', '42 IT', '36 IT', '46 IT', '38 IT', '34 IT', '40 IT', '50 IT', '44 IT']","['https://images.lvrcdn.com/c/2024/11/07/c5129d4f-b2f0-4d6d-aadf-8da45bd53d55/467b2e07-b976-44cc-93e5-06dcd193354020241112104705.JPG', 'https://images.lvrcdn.com/c/2024/11/08/58ce30a1-b61a-40e3-a508-19978833fc92/6024d42d-2c8a-4512-a81e-33a24fb05ad420241111121644.JPG', 'https://images.lvrcdn.com/c/2024/11/08/58ce30a1-b61a-40e3-a508-19978833fc92/bed0e8e8-9617-41a2-8a61-f600a68a813820241111121641.JPG', 'https://images.lvrcdn.com/c/2024/11/07/c5129d4f-b2f0-4d6d-aadf-8da45bd53d55/18b2f724-611f-47a1-b4fc-4b343af4a13820241112104703.JPG', 'https://images.lvrcdn.com/c/2024/11/07/c5129d4f-b2f0-4d6d-aadf-8da45bd53d55/cda7a6c3-c7ba-48d2-bd70-33a7b6f569ab20241112104701.JPG']",False,False,100% Linen,'s max mara,False,Pants,Black,Linen
['https://www.luisaviaroma.com/en-us/p/max-mara/women/79I-F4P009?ColorId=MDAz0&lvrid=_p_dLCG_gw'],79I-F4P009,79I-F4P009,eliot embossed faux leather mini dress,v neck all over embossed pattern placement may vary two side pockets model is wearing a size m,"[['women', 'MAX MARA']]",dark green_003,93.0,266.0,"['S', 'M']","['M', 'S']","['https://images.lvrcdn.com/c/p/79I/F4P/009/3a68fc7c-4f10-4f07-9419-f11622726940.JPG', 'https://images.lvrcdn.com/c/p/79I/F4P/009/34e38ea5-2591-4593-98e4-68f36f17450c20231221084446.JPG', 'https://images.lvrcdn.com/c/p/79I/F4P/009/bb19424a-3f33-49e2-b828-11433c04783320231221084449.JPG', 'https://images.lvrcdn.com/c/p/79I/F4P/009/11b2c85e-62a5-4dfc-9341-543f2771b3a9.JPG', 'https://images.lvrcdn.com/c/p/79I/F4P/009/f786dc10-2112-4b53-9705-409584136235.JPG']",False,False,100% Polyester,max mara,True,Dress,Dark Green,Polyester
['https://www.luisaviaroma.com/en-us/p/max-mara/women/81I-CD5032?ColorId=MDAy0&lvrid=_p_dLCG_gw'],81I-CD5032,81I-CD5032,zic wool blend shorts,concealed closure two side pockets model is wearing a size 42 made in italy,"[['women', 'MAX MARA']]",light beige_002,381.0,381.0,"['34 IT', '36 IT', '38 IT', '40 IT', '42 IT', '44 IT', '46 IT']","['42 IT', '36 IT', '46 IT', '38 IT', '34 IT', '40 IT', '44 IT']","['https://images.lvrcdn.com/c/2024/12/30/76b444f9-9afd-4db1-bd1b-537f8f3d077c/143dd04a-2692-481b-8523-9aaf8242713c20241231100623.JPG', 'https://images.lvrcdn.com/c/2025/01/14/937a06a2-7de9-49ca-ad33-5f0216eff53e/7fcba237-7f0d-43a3-a0cf-a819a51b128f20250115115229.JPG', 'https://images.lvrcdn.com/c/2025/01/14/937a06a2-7de9-49ca-ad33-5f0216eff53e/75d40899-45c0-4e02-a854-ad15f4da376620250115115227.JPG', 'https://images.lvrcdn.com/c/2024/12/30/76b444f9-9afd-4db1-bd1b-537f8f3d077c/3772d819-4796-481d-bf0a-c6495cf70d3f20241231100618.JPG', 'https://images.lvrcdn.com/c/2024/12/30/76b444f9-9afd-4db1-bd1b-537f8f3d077c/2114cdc4-9373-450e-9d21-0594c9a1328820241231100620.JPG']",False,False,"96% Virgin Wool, 4% Elastane",max mara,False,Shorts,Beige,Wool Blend
['https://www.luisaviaroma.com/en-us/p/weekend-max-mara/women/81I-YV0006?ColorId=MDA30&lvrid=_p_dF4U_gw'],81I-YV0006,81I-YV0006,emmy satin clutch,height: 11cm width: 24cm depth: 9cm strap drop: 50cm metal chain strap metal frame with clasp closure,"[['women', 'WEEKEND MAX MARA']]",black_007,450.0,450.0,['Unique'],['Unique'],"['https://images.lvrcdn.com/c/2025/01/10/a59e640d-fd2c-4922-8c76-616a82b6e3fa/504d59e6-af4c-4ea1-80de-af7179c34e1a20250113124152.JPG', 'https://images.lvrcdn.com/c/2025/01/10/a59e640d-fd2c-4922-8c76-616a82b6e3fa/dee4bd62-a354-4407-a939-3b24e6912e1020250113124144.JPG', 'https://images.lvrcdn.com/c/2025/01/10/a59e640d-fd2c-4922-8c76-616a82b6e3fa/2496e6a9-dfb3-4e42-ad54-35e6d6eccf9920250113124150.JPG', 'https://images.lvrcdn.com/c/2025/01/10/a59e640d-fd2c-4922-8c76-616a82b6e3fa/b2dafd48-04a9-402d-a111-20976b83973e20250113124147.JPG', 'https://images.lvrcdn.com/c/2025/01/10/a59e640d-fd2c-4922-8c76-616a82b6e3fa/ec9c1be9-62d8-499e-ac24-a7e6dc3b8fe420250113124140.JPG']",False,False,"64% Cotton, 36% Silk",weekend max mara,False,Clutch,Black,"Cotton, Silk"
['https://www.luisaviaroma.com/en-us/p/max-mara/women/81I-50P003?ColorId=MDAx0&lvrid=_p_dLCG_gw'],81I-50P003,81I-50P003,beatrice denim effect cotton blazer,front button closure button cuffs two front pockets model is wearing a size 40 made in italy,"[['women', 'MAX MARA']]",blue_001,1690.0,1690.0,"['34 IT', '36 IT', '38 IT', '40 IT', '42 IT', '44 IT', '46 IT']","['42 IT', '36 IT', '46 IT', '38 IT', '34 IT', '40 IT', '44 IT']","['https://images.lvrcdn.com/c/2024/11/05/98bb8f91-412c-4440-856a-6fdaf800f076/6764dfb5-34b7-4715-a39e-42a5f7afe43e20241106113638.JPG', 'https://images.lvrcdn.com/c/2024/11/05/30ce9db8-063a-43b0-80b5-feec9d09c398/67f4f774-6226-4436-b06c-31cda23951e820241107154632.JPG', 'https://images.lvrcdn.com/c/2024/11/05/30ce9db8-063a-43b0-80b5-feec9d09c398/578a7d7b-6b4d-4c1c-ae84-272171d04e4e20241107154630.JPG', 'https://images.lvrcdn.com/c/2024/11/05/98bb8f91-412c-4440-856a-6fdaf800f076/d8d9d235-a474-4e0e-a93e-c49aa63891ef20241106113632.JPG', 'https://images.lvrcdn.com/c/2024/11/05/98bb8f91-412c-4440-856a-6fdaf800f076/54a4c9ef-57a2-4006-adf6-b7671326aaef20241106113635.JPG']",False,False,100% Cotton,max mara,False,Blazer,Blue,Cotton
['https://www.luisaviaroma.com/en-us/p/weekend-max-mara/women/81I-F4U038?ColorId=MDAx0&lvrid=_p_dF4U_gw'],81I-F4U038,81I-F4U038,kaya leather jacket,front button closure two front pockets model is wearing a size 42,"[['women', 'WEEKEND MAX MARA']]",brown_001,895.0,895.0,"['34 IT', '36 IT', '38 IT', '40 IT', '42 IT', '44 IT', '46 IT', '48 IT', '50 IT']","['48 IT', '42 IT', '36 IT', '46 IT', '38 IT', '34 IT', '40 IT', '50 IT', '44 IT']","['https://images.lvrcdn.com/c/2024/07/29/346bd8e8-a649-4212-b455-448ab5ddc8d2/c1baa96a-c0d7-41f4-9cde-36b58ba2069720240730100533.JPG', 'https://images.lvrcdn.com/c/2024/07/29/671d3988-f6fe-4c14-9f76-8857be896e70/c9014779-61c8-4355-a1e3-b22be36e814020240730073541.JPG', 'https://images.lvrcdn.com/c/2024/07/29/671d3988-f6fe-4c14-9f76-8857be896e70/4cfe4802-9f60-40c9-b056-269d23579d1b20240730073543.JPG', 'https://images.lvrcdn.com/c/2024/07/29/671d3988-f6fe-4c14-9f76-8857be896e70/d60a31bf-dd56-4401-86a6-2bba9767f5b420240730073538.JPG', 'https://images.lvrcdn.com/c/2024/07/29/346bd8e8-a649-4212-b455-448ab5ddc8d2/fc9cd075-b4b8-46cc-8a5e-f5bf426aca2c20240730100515.JPG', 'https://images.lvrcdn.com/c/2024/07/29/346bd8e8-a649-4212-b455-448ab5ddc8d2/3b71efb8-b7b4-416c-9252-d3dfcf14cee720240730100530.JPG']",False,False,"Main: 100% Lamb, Lining: 100% Polyester",weekend max mara,False,Jacket,Brown,"Lamb, Polyester"
